cps_code,cps_label,occ_label_bigram,occ_label_unigram,occ_label_bigram_plural,occ_label_unigram_plural
1430,"Industrial Engineers, including Health and Safety",industrial engineer,engineer,industrial engineers,engineers
1440,Marine Engineers and Naval Architects,marine engineer,engineer,marine engineers,engineers
1450,Materials Engineers,materials engineer,engineer,materials engineers,engineers
1460,Mechanical Engineers,mechanical engineer,engineer,mechanical engineers,engineers
1500,Mining and Geological Engineers,mining engineer,engineer,mining engineers,engineers
1510,Nuclear Engineers,nuclear engineer,engineer,nuclear engineers,engineers
1520,Petroleum Engineers,petroleum engineer,engineer,petroleum engineers,engineers
1530,"Engineers, All Other",engineer,engineer,engineers,engineers
1540,Drafters,drafter,drafter,drafters,drafters
1550,"Engineering Technicians, Except Drafters",engineering technician,technician,engineering technicians,technicians
1560,Surveying and Mapping Technicians,survey technician,technician,survey technicians,technicians
1600,Agricultural and Food Scientists,scientist,scientist,scientists,scientists
1610,Biological Scientists,biologist,scientist,biologists,scientists
1640,Conservation Scientists and Foresters,forester,forester,foresters,foresters
1650,Medical Scientists,medical scientist,scientist,medical scientists,scientists
1660,"Life Scientists, All Other",scientist,scientist,scientists,scientists
1700,Astronomers and Physicists,physicist,physicist,physicists,physicists
1710,Atmospheric and Space Scientists,climate scientist,scientist,climate scientists,scientists
1720,Chemists and Materials Scientists,chemist,chemist,chemists,chemists
1740,Environmental Scientists and Geoscientists,environmental scientist,scientist,environmental scientists,scientists
1760,"Physical Scientists, All Other",scientist,scientist,scientists,scientists
1800,Economists,economist,economist,economists,economists
1820,Psychologists,psychologist,psychologist,psychologists,psychologists
1840,Urban and Regional Planners,urban planner,planner,urban planners,planners
1860,Miscellaneous social scientists,sociologist,sociologist,sociologists,sociologists
1900,Agricultural and Food Science Technicians,lab technician,technician,lab technicians,technicians
1910,Biological Technicians,lab technician,technician,lab technicians,technicians
1920,Chemical Technicians,lab technician,technician,lab technicians,technicians
1930,Geological and Petroleum Technicians,lab technician,technician,lab technicians,technicians
1940,Nuclear Technicians,lab technician,technician,lab technicians,technicians
1950,Social Science Research Assistants,research assistant,assistant,research assistants,assistants
1965,Miscellaneous science technicians,technician,technician,technicians,technicians
2000,Counselors,counselor,counselor,counselors,counselors
2010,Social Workers,social worker,worker,social workers,workers
2015,Probation Officers and Correctional Treatment Specialists,probation officer,officer,probation officers,officers
2016,Social and Human Service Assistants,service assistant,assistant,service assistants,assistants
2025,Miscellaneous Community and Social Service Specialists,counselor,counselor,counselors,counselors
2040,Clergy,clergy,clergy,clergies,clergies
2050,"Directors, Religious Activities and Education",religious director,director,religious directors,directors
2060,"Religious Workers, All Other",clergy,clergy,clergies,clergies
2100,Lawyers,lawyer,lawyer,lawyers,lawyers
2105,Judicial Law Clerks,law clerk,clerk,law clerks,clerks
2110,"Judges, Magistrates, and Other Judicial Workers",judge,judge,judges,judges
2145,Paralegals and Legal Assistants,paralegal,paralegal,paralegals,paralegals
2150,Miscellaneous Legal Support Workers,paralegal,paralegal,paralegals,paralegals
2160,Miscellaneous Legal Support Workers,paralegal,paralegal,paralegals,paralegals
2200,Postsecondary Teachers,professor,professor,professors,professors
2300,Preschool and Kindergarten Teachers,teacher,teacher,teachers,teachers
2310,Elementary and Middle School Teachers,teacher,teacher,teachers,teachers
2320,Secondary School Teachers,teacher,teacher,teachers,teachers
2330,Special Education Teachers,teacher,teacher,teachers,teachers
2340,Other Teachers and Instructors,teacher,teacher,teachers,teachers
2400,"Archivists, Curators, and Museum Technicians",curator,curator,curators,curators
2430,Librarians,librarian,librarian,librarians,librarians
2440,Library Technicians,library technician,technician,library technicians,technicians
2540,Teacher Assistants,teacher aide,aide,teacher aides,aides
2550,"Education, Training, and Library Workers, All Other",teacher,teacher,teachers,teachers
2600,Artists and Related Workers,artist,artist,artists,artists
2630,Designers,designer,designer,designers,designers
2700,Actors,actor,actor,actors,actors
2710,Producers and Directors,director,director,directors,directors
2720,"Athletes, Coaches, Umpires, and Related Workers",coach,coach,coaches,coaches
2740,Dancers and Choreographers,dancer,dancer,dancers,dancers
2750,"Musicians, Singers, and Related Workers",musician,musician,musicians,musicians
2760,"Entertainers and Performers, All Other",entertainer,entertainer,entertainers,entertainers
2800,Announcers,announcer,announcer,announcers,announcers
2810,"News Analysts, Reporters and Correspondents",journalist,journalist,journalists,journalists
2825,Public Relations Specialists,PR specialist,specialist,PR specialists,specialists
2830,Editors,editor,editor,editors,editors
2840,Technical Writers,technical writer,writer,technical writers,writers
2850,Writers and Authors,writer,writer,writers,writers
2860,Miscellaneous Media and Communication Workers,writer,writer,writers,writers
2900,Broadcast and sound engineering technicians,technician,technician,technicians,technicians
2910,Photographers,photographer,photographer,photographers,photographers
2920,Camera operators and editors,filmmaker,filmmaker,filmmakers,filmmakers
3000,Chiropractors,chiropractor,chiropractor,chiropractors,chiropractors
3010,Dentists,dentist,dentist,dentists,dentists
3030,Dietitians and Nutritionists,nutritionist,nutritionist,nutritionists,nutritionists
3040,Optometrists,optometrist,optometrist,optometrists,optometrists
3050,Pharmacists,pharmacist,pharmacist,pharmacists,pharmacists
3060,Physicians and Surgeons,doctor,doctor,doctors,doctors
3110,Physician Assistants,physician assistant,assistant,physician assistants,assistants
3120,Podiatrists,podiatrist,podiatrist,podiatrists,podiatrists
3140,Audiologists,audiologist,audiologist,audiologists,audiologists
3150,Occupational Therapists,occupational therapist,therapist,occupational therapists,therapists
3160,Physical Therapists,physical therapist,therapist,physical therapists,therapists
3200,Radiation Therapists,radiation therapist,therapist,radiation therapists,therapists
3210,Recreational Therapists,recreational therapist,therapist,recreational therapists,therapists
3220,Respiratory Therapists,respiratory therapist,therapist,respiratory therapists,therapists
3230,Speech-Language Pathologists,speech therapist,therapist,speech therapists,therapists
3235,Exercise Physiologists,exercise physiologist,physiologist,exercise physiologists,physiologists
3245,"Therapists, All Other",therapist,therapist,therapists,therapists
3250,Veterinarians,veterinarian,veterinarian,veterinarians,veterinarians
3255,Registered Nurses,nurse,nurse,nurses,nurses
3256,Nurse anesthetists,nurse anesthetist,nurse,nurse anesthetists,nurses
3258,Nurse practitioners and nurse midwives,midwife,midwife,midwifes,midwifes
3260,Health Diagnosing and Treating Practitioners,practitioner,practitioner,practitioners,practitioners
3300,Clinical Laboratory Technologists and Technicians,lab technician,technician,lab technicians,technicians
3310,Dental Hygienists,dental hygienist,hygienist,dental hygienists,hygienists
3320,Diagnostic Related Technologists and Technicians,medical technician,technician,medical technicians,technicians
3400,Emergency Medical Technicians and Paramedics,paramedic,paramedic,paramedics,paramedics
3420,Health Practitioner Support Technologists,medical technician,technician,medical technicians,technicians
3500,Licensed Practical and Vocational Nurses,practical nurse,nurse,practical nurses,nurses
3510,Medical Records Technicians,records clerk,clerk,records clerks,clerks
3520,Opticians,optician,optician,opticians,opticians
3535,Miscellaneous Health Technicians,medical technician,technician,medical technicians,technicians
3540,Other Healthcare Practitioners,practitioner,practitioner,practitioners,practitioners
3600,"Nursing, Psychiatric, and Home Health Aides",health aide,aide,health aides,aides
3610,Occupational Therapy Assistants,therapy assistant,assistant,therapy assistants,assistants
3620,Physical Therapy Assistants,therapy assistant,assistant,therapy assistants,assistants
3630,Massage Therapists,massage therapist,therapist,massage therapists,therapists
3640,Dental Assistants,dental assistant,assistant,dental assistants,assistants
3645,Medical Assistants,medical assistant,assistant,medical assistants,assistants
3646,Medical Transcriptionists,transcriptionist,transcriptionist,transcriptionists,transcriptionists
3647,Pharmacy Aides,pharmacy aide,aide,pharmacy aides,aides
3648,Veterinary Assistants,vet assistant,assistant,vet assistants,assistants
3649,Phlebotomists,phlebotomist,phlebotomist,phlebotomists,phlebotomists
3655,Healthcare support workers,aide,aide,aides,aides
3700,First-Line Supervisors of Correctional Officers,correctional supervisor,supervisor,correctional supervisors,supervisors
3710,First-Line Supervisors of Police and Detectives,police supervisor,supervisor,police supervisors,supervisors
3720,First-Line Supervisors of Fire Fighting Workers,fire supervisor,supervisor,fire supervisors,supervisors
3730,First-Line Supervisors of Protective Service Workers,protective supervisor,supervisor,protective supervisors,supervisors
3740,Firefighters,firefighter,firefighter,firefighters,firefighters
3750,Fire Inspectors,fire inspector,inspector,fire inspectors,inspectors
3800,"Bailiffs, Correctional Officers, and Jailers",correctional officer,officer,correctional officers,officers
3820,Detectives and Criminal Investigators,detective,detective,detectives,detectives
3830,Fish and Game Wardens,game warden,warden,game wardens,wardens
3840,Parking Enforcement Workers,parking officer,officer,parking officers,officers
3850,Police and Sheriff's Patrol Officers,police officer,officer,police officers,officers
3900,Animal Control Workers,animal worker,worker,animal workers,workers
3910,Private Detectives and Investigators,detective,detective,detectives,detectives
3930,Security Guards and Gaming Surveillance Officers,security guard,guard,security guards,guards
3940,Crossing Guards,crossing guard,guard,crossing guards,guards
3945,Transportation Security Screeners,security screener,screener,security screeners,screeners
3955,Lifeguards and Other Protective Service Workers,lifeguard,lifeguard,lifeguards,lifeguards
4000,Chefs and Head Cooks,chef,chef,chefs,chefs
4010,First-Line Supervisors of Food Preparation Workers,kitchen supervisor,supervisor,kitchen supervisors,supervisors
4020,Cooks,cook,cook,cooks,cooks
4030,Food Preparation Workers,kitchen worker,worker,kitchen workers,workers
4040,Bartenders,bartender,bartender,bartenders,bartenders
4050,Fast Food Workers,fast food,worker,fast foods,workers
4060,Counter Attendants,attendant,attendant,attendants,attendants
4110,Waiters and Waitresses,server,server,servers,servers
4120,"Food Servers, Nonrestaurant",server,server,servers,servers
4130,Miscellaneous Food Workers,food worker,worker,food workers,workers
4140,Dishwashers,dishwasher,dishwasher,dishwashers,dishwashers
4150,Hosts and Hostesses,host,host,hosts,hosts
4200,First-Line Supervisors of Cleaning Workers,janitorial supervisor,supervisor,janitorial supervisors,supervisors
4210,First-Line Supervisors of Grounds Workers,grounds supervisor,supervisor,grounds supervisors,supervisors
4220,Janitors and Building Cleaners,janitor,janitor,janitors,janitors
4230,Maids and Housekeeping Cleaners,housekeeper,housekeeper,housekeepers,housekeepers
4240,Pest Control Workers,exterminator,exterminator,exterminators,exterminators
4250,Grounds Maintenance Workers,groundskeeper,groundskeeper,groundskeepers,groundskeepers
4300,First-Line Supervisors of Gaming Workers,gaming supervisor,supervisor,gaming supervisors,supervisors
4320,First-Line Supervisors of Personal Service Workers,service supervisor,supervisor,service supervisors,supervisors
4340,Animal Trainers,animal trainer,trainer,animal trainers,trainers
4350,Nonfarm Animal Caretakers,animal caretaker,caretaker,animal caretakers,caretakers
4400,Gaming Services Workers,casino worker,worker,casino workers,workers
4410,Motion Picture Projectionists,projectionist,projectionist,projectionists,projectionists
4420,Ushers and Ticket Takers,usher,usher,ushers,ushers
4430,Miscellaneous Entertainment Workers,entertainment worker,worker,entertainment workers,workers
4460,Funeral Service Workers,funeral worker,worker,funeral workers,workers
4465,Morticians and Funeral Directors,funeral director,director,funeral directors,directors
4500,Barbers,barber,barber,barbers,barbers
4510,Hairdressers and Cosmetologists,hair stylist,stylist,hair stylists,stylists
4520,Miscellaneous Personal Appearance Workers,beautician,beautician,beauticians,beauticians
4530,Baggage Porters and Bellhops,bellhop,bellhop,bellhops,bellhops
4540,Tour and Travel Guides,tour guide,guide,tour guides,guides
4600,Childcare Workers,childcare worker,worker,childcare workers,workers
4610,Personal Care Aides,aide,aide,aides,aides
4620,Recreation and Fitness Workers,fitness trainer,trainer,fitness trainers,trainers
4640,Residential Advisors,residential advisor,advisor,residential advisors,advisors
4650,"Personal Care Workers, All Other",service worker,worker,service workers,workers
4700,First-Line Supervisors of Retail Sales Workers,sales supervisor,supervisor,sales supervisors,supervisors
4710,First-Line Supervisors of Non-Retail Sales Workers,sales manager,manager,sales managers,managers
4720,Cashiers,cashier,cashier,cashiers,cashiers
4740,Counter and Rental Clerks,clerk,clerk,clerks,clerks
4750,Parts Salespersons,salesperson,salesperson,salespersons,salespersons
4760,Retail Salespersons,salesperson,salesperson,salespersons,salespersons
4800,Advertising Sales Agents,sales agent,agent,sales agents,agents
4810,Insurance Sales Agents,insurance agent,agent,insurance agents,agents
4820,Financial Services Sales Agents,sales agent,agent,sales agents,agents
4830,Travel Agents,travel agent,agent,travel agents,agents
4840,"Sales Representatives, Services",salesperson,salesperson,salespersons,salespersons
4850,"Sales Representatives, Wholesale",sales rep,rep,sales reps,reps
4900,Models and Product Promoters,model,model,models,models
4920,Real Estate Agents,realtor,realtor,realtors,realtors
4930,Sales Engineers,sales engineer,engineer,sales engineers,engineers
4940,Telemarketers,telemarketer,telemarketer,telemarketers,telemarketers
4950,Street Vendors,vendor,vendor,vendors,vendors
4965,"Sales Workers, All Other",salesperson,salesperson,salespersons,salespersons
5000,First-Line Supervisors of Office Workers,office supervisor,supervisor,office supervisors,supervisors
5010,Switchboard Operators,operator,operator,operators,operators
5020,Telephone Operators,operator,operator,operators,operators
5030,Communications Equipment Operators,operator,operator,operators,operators
5100,Bill Collectors,collector,collector,collectors,collectors
5110,Billing Clerks,clerk,clerk,clerks,clerks
5120,Bookkeepers,bookkeeper,bookkeeper,bookkeepers,bookkeepers
5130,Gaming Cage Workers,cashier,cashier,cashiers,cashiers
5140,Payroll Clerks,clerk,clerk,clerks,clerks
5150,Procurement Clerks,clerk,clerk,clerks,clerks
5160,Tellers,teller,teller,tellers,tellers
5165,"Financial Clerks, All Other",clerk,clerk,clerks,clerks
5200,Brokerage Clerks,clerk,clerk,clerks,clerks
5210,Correspondence Clerks,clerk,clerk,clerks,clerks
5220,Court Clerks,clerk,clerk,clerks,clerks
5230,Credit Clerks,clerk,clerk,clerks,clerks
5240,Customer Service Representatives,service representative,representative,service representatives,representatives
5250,Eligibility Interviewers,interviewer,interviewer,interviewers,interviewers
5260,File Clerks,clerk,clerk,clerks,clerks
5300,Hotel Clerks,clerk,clerk,clerks,clerks
5310,Interviewers,interviewer,interviewer,interviewers,interviewers
5320,Library Assistants,library assistant,assistant,library assistants,assistants
5330,Loan Clerks,clerk,clerk,clerks,clerks
5340,New Accounts Clerks,clerk,clerk,clerks,clerks
5350,Order Clerks,clerk,clerk,clerks,clerks
5360,HR Assistants,HR assistant,assistant,HR assistants,assistants
5400,Receptionists,receptionist,receptionist,receptionists,receptionists
5410,Reservation Agents,travel agent,agent,travel agents,agents
5420,"Information and Record Clerks, All Other",clerk,clerk,clerks,clerks
5500,Cargo and Freight Agents,freight agent,agent,freight agents,agents
5510,Couriers and Messengers,courier,courier,couriers,couriers
5520,Dispatchers,dispatcher,dispatcher,dispatchers,dispatchers
5530,"Meter Readers, Utilities",meter reader,reader,meter readers,readers
5540,Postal Service Clerks,clerk,clerk,clerks,clerks
5550,Postal Service Mail Carriers,mail carrier,carrier,mail carriers,carriers
5560,Postal Service Mail Sorters,clerk,clerk,clerks,clerks
5600,"Production, Planning, and Expediting Clerks",clerk,clerk,clerks,clerks
5610,"Shipping, Receiving, and Traffic Clerks",clerk,clerk,clerks,clerks
5620,Stock Clerks and Order Fillers,clerk,clerk,clerks,clerks
5630,"Weighers, Measurers, Checkers, and Samplers",clerk,clerk,clerks,clerks
5700,Secretaries and Administrative Assistants,secretary,secretary,secretaries,secretaries
5800,Computer Operators,computer technician,technician,computer technicians,technicians
5810,Data Entry Keyers,clerk,clerk,clerks,clerks
5820,Word Processors and Typists,typist,typist,typists,typists
5840,Insurance Claims Clerks,insurance clerk,clerk,insurance clerks,clerks
5850,Mail Clerks,clerk,clerk,clerks,clerks
5860,"Office Clerks, General",office clerk,clerk,office clerks,clerks
5900,Office Machine Operators,operator,operator,operators,operators
5910,Proofreaders and Copy Markers,proofreader,proofreader,proofreaders,proofreaders
5920,Statistical Assistants,assistant,assistant,assistants,assistants
5940,Miscellaneous Office Workers,clerk,clerk,clerks,clerks
6005,Supervisors of Farming Workers,farm supervisor,supervisor,farm supervisors,supervisors
6010,Agricultural Inspectors,agricultural inspector,inspector,agricultural inspectors,inspectors
6040,Graders and Sorters,sorter,sorter,sorters,sorters
6050,Miscellaneous Agricultural Workers,farmhand,farmhand,farmhands,farmhands
6100,Fishing and Hunting Workers,fisher,fisher,fishers,fishers
6120,Forest and Conservation Workers,forester,forester,foresters,foresters
6130,Logging Workers,logger,logger,loggers,loggers
6200,Supervisors of Construction Workers,construction supervisor,supervisor,construction supervisors,supervisors
6210,Boilermakers,boilermaker,boilermaker,boilermakers,boilermakers
6220,Brickmasons and Stonemasons,mason,mason,masons,masons
6230,Carpenters,carpenter,carpenter,carpenters,carpenters
6240,Floor Installers,floor installer,installer,floor installers,installers
6250,Cement Masons,mason,mason,masons,masons
6260,Construction Laborers,construction worker,worker,construction workers,workers
6300,Paving Equipment Operators,operator,operator,operators,operators
6310,Pile Driver Operators,operator,operator,operators,operators
6320,Construction Equipment Operators,operator,operator,operators,operators
6330,Drywall Installers,installer,installer,installers,installers
6355,Electricians,electrician,electrician,electricians,electricians
6360,Glaziers,glazier,glazier,glaziers,glaziers
6400,Insulation Workers,insulation worker,worker,insulation workers,workers
6420,Painters,painter,painter,painters,painters
6440,Plumbers and Pipefitters,plumber,plumber,plumbers,plumbers
6460,Plasterers,plasterer,plasterer,plasterers,plasterers
6515,Roofers,roofer,roofer,roofers,roofers
6520,Sheet Metal Workers,metal worker,worker,metal workers,workers
6530,Structural Iron Workers,ironworker,ironworker,ironworkers,ironworkers
6600,Construction Helpers,construction helper,helper,construction helpers,helpers
6660,Building Inspectors,building inspector,inspector,building inspectors,inspectors
6700,Elevator Installers,elevator technician,technician,elevator technicians,technicians
6710,Fence Erectors,installer,installer,installers,installers
6720,Hazardous Materials Workers,laborer,laborer,laborers,laborers
6730,Highway Maintenance Workers,laborer,laborer,laborers,laborers
6740,Rail Track Operators,operator,operator,operators,operators
6765,Miscellaneous Construction Workers,laborer,laborer,laborers,laborers
6800,Drillers,driller,driller,drillers,drillers
6820,Earth Drillers,driller,driller,drillers,drillers
6830,Blasters,blaster,blaster,blasters,blasters
6840,Mining Machine Operators,miner,miner,miners,miners
6910,Roof Bolters,miner,miner,miners,miners
6920,Oil and Gas Laborers,laborer,laborer,laborers,laborers
6930,Extraction Helpers,helper,helper,helpers,helpers
6940,Other Extraction Workers,miner,miner,miners,miners
7000,Supervisors of Mechanics,mechanic supervisor,supervisor,mechanic supervisors,supervisors
7010,Machine Repairers,technician,technician,technicians,technicians
7020,Telecom Installers,installer,installer,installers,installers
7030,Avionics Technicians,technician,technician,technicians,technicians
7040,Motor Repairers,mechanic,mechanic,mechanics,mechanics
7100,Vehicle Electronics Repairers,mechanic,mechanic,mechanics,mechanics
7110,Home Electronics Technicians,technician,technician,technicians,technicians
7120,Security System Installers,installer,installer,installers,installers
7130,Aircraft Mechanics,mechanic,mechanic,mechanics,mechanics
7140,Auto Body Repairers,mechanic,mechanic,mechanics,mechanics
7150,Auto Glass Repairers,mechanic,mechanic,mechanics,mechanics
7160,Auto Mechanics,mechanic,mechanic,mechanics,mechanics
7200,Diesel Mechanics,mechanic,mechanic,mechanics,mechanics
7220,Heavy Equipment Mechanics,mechanic,mechanic,mechanics,mechanics
7240,Small Engine Mechanics,mechanic,mechanic,mechanics,mechanics
7260,Misc Vehicle Mechanics,mechanic,mechanic,mechanics,mechanics
7300,Valve Installers,mechanic,mechanic,mechanics,mechanics
7315,HVAC Technicians,HVAC technician,technician,HVAC technicians,technicians
7320,Appliance Repairers,technician,technician,technicians,technicians
7330,Industrial Mechanics,mechanic,mechanic,mechanics,mechanics
7340,Maintenance Workers,technician,technician,technicians,technicians
7350,Machine Maintenance,mechanic,mechanic,mechanics,mechanics
7360,Millwrights,millwright,millwright,millwrights,millwrights
7410,Power Line Installers,electrician,electrician,electricians,electricians
7420,Telecom Line Installers,installer,installer,installers,installers
7430,Precision Repairers,technician,technician,technicians,technicians
7510,Vending Machine Repairers,technician,technician,technicians,technicians
7520,Commercial Divers,diver,diver,divers,divers
7540,Locksmiths,locksmith,locksmith,locksmiths,locksmiths
7560,Riggers,rigger,rigger,riggers,riggers
7610,Repair Helpers,helper,helper,helpers,helpers
7630,Misc Repair Workers,technician,technician,technicians,technicians
7700,Supervisors of Production Workers,production supervisor,supervisor,production supervisors,supervisors
7710,Aircraft Assemblers,assembler,assembler,assemblers,assemblers
7720,Electrical Assemblers,electrical assembler,assembler,electrical assemblers,assemblers
7730,Machine Assemblers,machine assembler,assembler,machine assemblers,assemblers
7740,Metal Fabricators,metal worker,worker,metal workers,workers
7750,Miscellaneous Assemblers,assembler,assembler,assemblers,assemblers
7800,Bakers,baker,baker,bakers,bakers
7810,Butchers,butcher,butcher,butchers,butchers
7830,Food Machine Operators,machine operator,operator,machine operators,operators
7840,Food Batchmakers,food worker,worker,food workers,workers
7850,Cooking Machine Operators,machine operator,operator,machine operators,operators
7855,Food Processing Workers,food worker,worker,food workers,workers
7900,Computer-Control Operators,machine operator,operator,machine operators,operators
7920,Metal Machine Operators,machinist,machinist,machinists,machinists
7930,Forging Machine Operators,machinist,machinist,machinists,machinists
7940,Rolling Machine Operators,machinist,machinist,machinists,machinists
7950,Press Machine Operators,machinist,machinist,machinists,machinists
7960,Drilling Machine Operators,machinist,machinist,machinists,machinists
8000,Grinding Machine Operators,machinist,machinist,machinists,machinists
8010,Lathe Operators,machinist,machinist,machinists,machinists
8020,Milling Machine Operators,machinist,machinist,machinists,machinists
8030,Machinists,machinist,machinist,machinists,machinists
8040,Furnace Operators,operator,operator,operators,operators
8060,Model Makers,machinist,machinist,machinists,machinists
8100,Molding Machine Operators,machinist,machinist,machinists,machinists
8120,Multiple Machine Operators,machinist,machinist,machinists,machinists
8130,Tool and Die Makers,toolmaker,toolmaker,toolmakers,toolmakers
8140,Welders,welder,welder,welders,welders
8220,Misc Metal Workers,machinist,machinist,machinists,machinists
8250,Prepress Workers,print technician,technician,print technicians,technicians
8255,Printing Press Operators,printer,printer,printers,printers
8256,Print Finishers,printer,printer,printers,printers
8300,Laundry Workers,dry cleaner,cleaner,dry cleaners,cleaners
8310,Pressers,presser,presser,pressers,pressers
8320,Sewing Machine Operators,sewing operator,operator,sewing operators,operators
8330,Shoe Workers,cobbler,cobbler,cobblers,cobblers
8340,Shoe Machine Operators,cobbler,cobbler,cobblers,cobblers
8350,Tailors,tailor,tailor,tailors,tailors
8400,Textile Machine Operators,machine operator,operator,machine operators,operators
8410,Knitting and Weaving Workers,weaver,weaver,weavers,weavers
8420,Textile Operators,machine operator,operator,machine operators,operators
8450,Upholsterers,upholsterer,upholsterer,upholsterers,upholsterers
8460,Misc Textile Workers,tailor,tailor,tailors,tailors
