code,label,occ_label1,occ_label2,occ_label3,occ_label4
1540,Drafters,drafter,,,
1550,"Engineering Technicians, Except Drafters",technician,,,
1560,Surveying and Mapping Technicians,surveyor,,,
1600,Agricultural and Food Scientists,scientist,,,
1610,Biological Scientists,biologist,,,
1640,Conservation Scientists and Foresters,forester,,,
1650,Medical Scientists,scientist,,,
1660,"Life Scientists, All Other",scientist,,,
1700,Astronomers and Physicists,physicist,astronomer,,
1710,Atmospheric and Space Scientists,meteorologist,,,
1720,Chemists and Materials Scientists,chemist,,,
1740,Environmental Scientists and Geoscientists,geologist,,,
1760,"Physical Scientists, All Other",scientist,,,
1800,Economists,economist,,,
1820,Psychologists,psychologist,,,
1840,Urban and Regional Planners,planner,,,
1860,"Miscellaneous social scientists, including survey researchers and sociologists",sociologist,,,
1900,Agricultural and Food Science Technicians,technician,,,
1910,Biological Technicians,technician,,,
1920,Chemical Technicians,technician,,,
1930,Geological and Petroleum Technicians,technician,,,
1940,Nuclear Technicians,technician,,,
1950,Social Science Research Assistants,assistant,,,
1965,"Miscellaneous life, physical, and social science technicians",technician,,,
2000,Counselors,counselor,,,
2010,Social Workers,caseworker,,,
2015,Probation Officers and Correctional Treatment Specialists,officer,,,
2016,Social and Human Service Assistants,assistant,,,
2025,Miscellaneous Community and Social Service Specialists,counselor,,,
2040,Clergy,clergy,,,
2050,"Directors, Religious Activities and Education",director,,,
2060,"Religious Workers, All Other",clergy,,,
2100,Lawyers,lawyer,,,
2105,Judicial Law Clerks,clerk,,,
2110,"Judges, Magistrates, and Other Judicial Workers",judge,,,
2145,Paralegals and Legal Assistants,paralegal,,,
2150,Miscellaneous Legal Support Workers,paralegal,,,
2160,Miscellaneous Legal Support Workers,paralegal,,,
2200,Postsecondary Teachers,professor,,,
2300,Preschool and Kindergarten Teachers,teacher,,,
2310,Elementary and Middle School Teachers,teacher,,,
2320,Secondary School Teachers,teacher,,,
2330,Special Education Teachers,teacher,,,
2340,Other Teachers and Instructors,teacher,,,
2400,"Archivists, Curators, and Museum Technicians",curator,archivist,,
2430,Librarians,librarian,,,
2440,Library Technicians,librarian,,,
2540,Teacher Assistants,aide,,,
2550,"Education, Training, and Library Workers, All Other",teacher,,,
2600,Artists and Related Workers,artist,,,
2630,Designers,designer,,,
2700,Actors,actor,,,
2710,Producers and Directors,director,producer,,
2720,"Athletes, Coaches, Umpires, and Related Workers",athlete,coach,,
2740,Dancers and Choreographers,dancer,choreographer,,
2750,"Musicians, Singers, and Related Workers",musician,singer,,
2760,"Entertainers and Performers, Sports and Related Workers, All Other",entertainer,performer,,
2800,Announcers,announcer,,,
2810,"News Analysts, Reporters and Correspondents",reporter,journalist,,
2825,Public Relations Specialists,publicist,,,
2830,Editors,editor,,,
2840,Technical Writers,writer,,,
2850,Writers and Authors,writer,author,,
2860,Miscellaneous Media and Communication Workers,writer,,,
2900,"Broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other",technician,,,
2910,Photographers,photographer,,,
2920,"Television, Video, and Motion Picture Camera Operators and Editors",filmmaker,,,
3000,Chiropractors,chiropractor,,,
3010,Dentists,dentist,,,
3030,Dietitians and Nutritionists,dietitian,nutritionist,,
3040,Optometrists,optometrist,,,
3050,Pharmacists,pharmacist,,,
3060,Physicians and Surgeons,physician,surgeon,doctor,
3110,Physician Assistants,practitioner,,,
3120,Podiatrists,podiatrist,,,
3140,Audiologists,audiologist,,,
3150,Occupational Therapists,therapist,,,
3160,Physical Therapists,therapist,,,
3200,Radiation Therapists,therapist,,,
3210,Recreational Therapists,therapist,,,
3220,Respiratory Therapists,therapist,,,
3230,Speech-Language Pathologists,therapist,,,
3235,Exercise Physiologists,physiologist,,,
3245,"Therapists, All Other",therapist,,,
3250,Veterinarians,veterinarian,,,
3255,Registered Nurses,nurse,,,
3256,Nurse anesthetists,nurse,,,
3258,Nurse practitioners and nurse midwives,nurse,midwife,,
3260,"Health Diagnosing and Treating Practitioners, All Other",practitioner,,,
3300,Clinical Laboratory Technologists and Technicians,technician,,,
3310,Dental Hygienists,hygienist,,,
3320,Diagnostic Related Technologists and Technicians,technician,,,
3400,Emergency Medical Technicians and Paramedics,paramedic,,,
3420,Health Practitioner Support Technologists and Technicians,technician,,,
3500,Licensed Practical and Licensed Vocational Nurses,nurse,,,
3510,Medical Records and Health Information Technicians,technician,,,
3520,"Opticians, Dispensing",optician,,,
3535,Miscellaneous Health Technologists and Technicians,technician,,,
3540,Other Healthcare Practitioners and Technical Occupations,practitioner,,,
3600,"Nursing, Psychiatric, and Home Health Aides",aide,,,
3610,Occupational Therapy Assistants and Aides,aide,,,
3620,Physical Therapist Assistants and Aides,aide,,,
3630,Massage Therapists,therapist,,,
3640,Dental Assistants,assistant,,,
3645,Medical Assistants,assistant,,,
3646,Medical Transcriptionists,transcriptionist,,,
3647,Pharmacy Aides,aide,,,
3648,Veterinary Assistants and Laboratory Animal Caretakers,assistant,,,
3649,Phlebotomists,phlebotomist,,,
3655,"Healthcare support workers, all other, including medical equipment preparers",aide,,,
3700,First-Line Supervisors of Correctional Officers,supervisor,,,
3710,First-Line Supervisors of Police and Detectives,supervisor,,,
3720,First-Line Supervisors of Fire Fighting and Prevention Workers,supervisor,,,
3730,"First-Line Supervisors of Protective Service Workers, All Other",supervisor,,,
3740,Firefighters,firefighter,,,
3750,Fire Inspectors,inspector,,,
3800,"Bailiffs, Correctional Officers, and Jailers",guard,jailer,,
3820,Detectives and Criminal Investigators,detective,investigator,,
3830,Fish and Game Wardens,warden,,,
3840,Parking Enforcement Workers,officer,,,
3850,Police and Sheriff's Patrol Officers,officer,,,
3900,Animal Control Workers,officer,,,
3910,Private Detectives and Investigators,detective,investigator,,
3930,Security Guards and Gaming Surveillance Officers,guard,,,
3940,Crossing Guards,guard,,,
3945,Transportation Security Screeners,screener,,,
3955,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",lifeguard,,,
4000,Chefs and Head Cooks,chef,cook,,
4010,First-Line Supervisors of Food Preparation and Serving Related Workers,supervisor,,,
4020,Cooks,cook,,,
4030,Food Preparation Workers,cook,,,
4040,Bartenders,bartender,,,
4050,"Combined Food Preparation and Serving Workers, Including Fast Food",cook,,,
4060,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",attendant,,,
4110,Waiters and Waitresses,server,waiter,,
4120,"Food Servers, Nonrestaurant",server,,,
4130,"Miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers",server,,,
4140,Dishwashers,dishwasher,,,
4150,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",host,,,
4200,First-Line Supervisors of Housekeeping and Janitorial Workers,supervisor,,,
4210,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",supervisor,,,
4220,Janitors and Building Cleaners,janitor,,,
4230,Maids and Housekeeping Cleaners,maid,housekeeper,,
4240,Pest Control Workers,exterminator,,,
4250,Grounds Maintenance Workers,gardener,,,
4300,First-Line Supervisors of Gaming Workers,supervisor,,,
4320,First-Line Supervisors of Personal Service Workers,supervisor,,,
4340,Animal Trainers,trainer,,,
4350,Nonfarm Animal Caretakers,caretaker,,,
4400,Gaming Services Workers,dealer,,,
4410,Motion Picture Projectionists,projectionist,,,
4420,"Ushers, Lobby Attendants, and Ticket Takers",usher,,,
4430,Miscellaneous Entertainment Attendants and Related Workers,attendant,,,
4460,Funeral Service Workers,undertaker,,,
4465,"Morticians, Undertakers, and Funeral Directors",mortician,undertaker,,
4500,Barbers,barber,,,
4510,"Hairdressers, Hairstylists, and Cosmetologists",hairdresser,cosmetologist,,
4520,Miscellaneous Personal Appearance Workers,cosmetologist,,,
4530,"Baggage Porters, Bellhops, and Concierges",porter,bellhop,,
4540,Tour and Travel Guides,guide,,,
4600,Childcare Workers,nanny,,,
4610,Personal Care Aides,caregiver,,,
4620,Recreation and Fitness Workers,coach,,,
4640,Residential Advisors,advisor,,,
4650,"Personal Care and Service Workers, All Other",caregiver,,,
4700,First-Line Supervisors of Retail Sales Workers,supervisor,,,
4710,First-Line Supervisors of Non-Retail Sales Workers,supervisor,,,
4720,Cashiers,cashier,,,
4740,Counter and Rental Clerks,clerk,,,
4750,Parts Salespersons,salesperson,,,
4760,Retail Salespersons,salesperson,,,
4800,Advertising Sales Agents,salesperson,,,
4810,Insurance Sales Agents,agent,,,
4820,"Securities, Commodities, and Financial Services Sales Agents",broker,trader,,
4830,Travel Agents,agent,,,
4840,"Sales Representatives, Services, All Other",salesperson,,,
4850,"Sales Representatives, Wholesale and Manufacturing",salesperson,,,
4900,"Models, Demonstrators, and Product Promoters",model,,,
4920,Real Estate Brokers and Sales Agents,realtor,broker,,
4930,Sales Engineers,engineer,,,
4940,Telemarketers,telemarketer,,,
4950,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",vendor,,,
4965,"Sales and Related Workers, All Other",salesperson,,,
5000,First-Line Supervisors of Office and Administrative Support Workers,supervisor,,,
5010,"Switchboard Operators, Including Answering Service",operator,,,
5020,Telephone Operators,operator,,,
5030,"Communications Equipment Operators, All Other",operator,,,
5100,Bill and Account Collectors,collector,,,
5110,Billing and Posting Clerks,clerk,,,
5120,"Bookkeeping, Accounting, and Auditing Clerks",bookkeeper,,,
5130,Gaming Cage Workers,cashier,,,
5140,Payroll and Timekeeping Clerks,clerk,,,
5150,Procurement Clerks,clerk,,,
5160,Tellers,teller,,,
5165,"Financial Clerks, All Other",clerk,,,
5200,Brokerage Clerks,clerk,,,
5210,Correspondence Clerks,clerk,,,
5220,"Court, Municipal, and License Clerks",clerk,,,
5230,"Credit Authorizers, Checkers, and Clerks",clerk,,,
5240,Customer Service Representatives,representative,,,
5250,"Eligibility Interviewers, Government Programs",interviewer,,,
5260,File Clerks,clerk,,,
5300,"Hotel, Motel, and Resort Desk Clerks",clerk,,,
5310,"Interviewers, Except Eligibility and Loan",interviewer,,,
5320,"Library Assistants, Clerical",assistant,,,
5330,Loan Interviewers and Clerks,clerk,,,
5340,New Accounts Clerks,clerk,,,
5350,Correspondence clerks and order clerks,clerk,,,
5360,"Human resources assistants, except payroll and timekeeping",assistant,,,
5400,Receptionists and Information Clerks,receptionist,,,
5410,Reservation and Transportation Ticket Agents and Travel Clerks,clerk,agent,,
5420,"Information and Record Clerks, All Other",clerk,,,
5500,Cargo and Freight Agents,agent,,,
5510,Couriers and Messengers,courier,messenger,,
5520,Dispatchers,dispatcher,,,
5530,"Meter Readers, Utilities",technician,,,
5540,Postal Service Clerks,clerk,,,
5550,Postal Service Mail Carriers,carrier,,,
5560,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",clerk,,,
5600,"Production, Planning, and Expediting Clerks",clerk,,,
5610,"Shipping, Receiving, and Traffic Clerks",clerk,,,
5620,Stock Clerks and Order Fillers,clerk,,,
5630,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",clerk,,,
5700,Secretaries and Administrative Assistants,secretary,assistant,,
5800,Computer Operators,operator,,,
5810,Data Entry Keyers,typist,,,
5820,Word Processors and Typists,typist,,,
5840,Insurance Claims and Policy Processing Clerks,clerk,,,
5850,"Mail Clerks and Mail Machine Operators, Except Postal Service",clerk,,,
5860,"Office Clerks, General",clerk,,,
5900,"Office Machine Operators, Except Computer",operator,,,
5910,Proofreaders and Copy Markers,proofreader,,,
5920,Statistical Assistants,assistant,,,
5940,"Miscellaneous office and administrative support workers, including desktop publishers",clerk,,,
6005,"First-line supervisors of farming, fishing, and forestry workers",supervisor,,,
6010,Agricultural Inspectors,inspector,,,
6040,"Graders and Sorters, Agricultural Products",sorter,,,
6050,Miscellaneous agricultural workers,farmhand,,,
6100,Fishing and Hunting Workers,fisher,,,
6120,Forest and Conservation Workers,forester,,,
6130,Logging Workers,logger,,,
6200,First-Line Supervisors of Construction Trades and Extraction Workers,supervisor,,,
6210,Boilermakers,boilermaker,,,
6220,"Brickmasons, Blockmasons, and Stonemasons",mason,bricklayer,,
6230,Carpenters,carpenter,,,
6240,"Carpet, Floor, and Tile Installers and Finishers",installer,,,
6250,"Cement Masons, Concrete Finishers, and Terrazzo Workers",mason,,,
6260,Construction Laborers,laborer,,,
6300,"Paving, Surfacing, and Tamping Equipment Operators",operator,,,
6310,Pile-Driver Operators,operator,,,
6320,Operating Engineers and Other Construction Equipment Operators,operator,,,
6330,"Drywall Installers, Ceiling Tile Installers, and Tapers",installer,,,
6355,Electricians,electrician,,,
6360,Glaziers,glazier,,,
6400,Insulation Workers,insulator,,,
6420,Painters and paperhangers,painter,,,
6440,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",plumber,pipefitter,,
6460,Plasterers and Stucco Masons,plasterer,,,
6515,Roofers,roofer,,,
6520,Sheet Metal Workers,metalworker,,,
6530,Structural Iron and Steel Workers,ironworker,,,
6600,"Helpers, Construction Trades",helper,,,
6660,Construction and Building Inspectors,inspector,,,
6700,Elevator Installers and Repairers,mechanic,,,
6710,Fence Erectors,installer,,,
6720,Hazardous Materials Removal Workers,laborer,,,
6730,Highway Maintenance Workers,laborer,,,
6740,Rail-Track Laying and Maintenance Equipment Operators,operator,,,
6765,Miscellaneous construction and related workers,laborer,,,
6800,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",driller,,,
6820,"Earth Drillers, Except Oil and Gas",driller,,,
6830,"Explosives Workers, Ordnance Handling Experts, and Blasters",blaster,,,
6840,Mining Machine Operators,miner,,,
6910,"Roof Bolters, Mining",miner,,,
6920,"Roustabouts, Oil and Gas",laborer,,,
6930,Helpers--Extraction Workers,helper,,,
6940,Other Extraction Workers,miner,,,
7000,"First-Line Supervisors of Mechanics, Installers, and Repairers",supervisor,,,
7010,"Computer, Automated Teller, and Office Machine Repairers",technician,,,
7020,Radio and Telecommunications Equipment Installers and Repairers,installer,,,
7030,Avionics Technicians,technician,,,
7040,"Electric Motor, Power Tool, and Related Repairers",mechanic,,,
7100,"Electrical and electronics repairers, transportation equipment, and industrial and utility",electrician,,,
7110,"Electronic Equipment Installers and Repairers, Motor Vehicles",mechanic,,,
7120,Electronic Home Entertainment Equipment Installers and Repairers,technician,,,
7130,Security and Fire Alarm Systems Installers,installer,,,
7140,Aircraft Mechanics and Service Technicians,mechanic,,,
7150,Automotive Body and Related Repairers,mechanic,,,
7160,Automotive Glass Installers and Repairers,mechanic,,,
7200,Automotive Service Technicians and Mechanics,mechanic,,,
7210,Bus and Truck Mechanics and Diesel Engine Specialists,mechanic,,,
7220,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,mechanic,,,
7240,Small Engine Mechanics,mechanic,,,
7260,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",mechanic,,,
7300,Control and Valve Installers and Repairers,mechanic,,,
7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",mechanic,,,
7320,Home Appliance Repairers,technician,,,
7330,Industrial and Refractory Machinery Mechanics,mechanic,,,
7340,"Maintenance and Repair Workers, General",technician,,,
7350,"Maintenance Workers, Machinery",mechanic,,,
7360,Millwrights,millwright,,,
7410,Electrical Power-Line Installers and Repairers,electrician,,,
7420,Telecommunications Line Installers and Repairers,installer,,,
7430,Precision Instrument and Equipment Repairers,technician,,,
7510,"Coin, Vending, and Amusement Machine Servicers and Repairers",technician,,,
7520,Commercial Divers,diver,,,
7540,Locksmiths and Safe Repairers,locksmith,,,
7560,Riggers,rigger,,,
7610,"Helpers--Installation, Maintenance, and Repair Workers",helper,,,
7630,"Miscellaneous installation, maintenance, and repair workers, including wind turbine service technicians",technician,,,
7700,First-Line Supervisors of Production and Operating Workers,supervisor,,,
7710,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",assembler,,,
7720,"Electrical, Electronics, and Electromechanical Assemblers",assembler,,,
7730,Engine and Other Machine Assemblers,assembler,,,
7740,Structural Metal Fabricators and Fitters,fabricator,,,
7750,Miscellaneous Assemblers and Fabricators,assembler,,,
7800,Bakers,baker,,,
7810,"Butchers and Other Meat, Poultry, and Fish Processing Workers",butcher,,,
7830,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",operator,,,
7840,Food Batchmakers,baker,,,
7850,Food Cooking Machine Operators and Tenders,operator,,,
7855,"Food Processing Workers, All Other",cook,,,
7900,Computer Control Programmers and Operators,operator,,,
7920,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
7930,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
7940,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
7950,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
7960,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
8000,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
8010,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
8020,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
8030,Machinists,machinist,,,
8040,"Metal Furnace Operators, Tenders, Pourers, and Casters",operator,,,
8060,"Model Makers and Patternmakers, Metal and Plastic",machinist,,,
8100,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
8120,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",machinist,,,
8130,Tool and Die Makers,machinist,,,
8140,"Welding, Soldering, and Brazing Workers",welder,,,
8220,"Miscellaneous metal workers and plastic workers, including multiple machine tool setters",machinist,,,
8250,Prepress Technicians and Workers,technician,,,
8255,Printing Press Operators,operator,,,
8256,Print Binding and Finishing Workers,printer,,,
8300,Laundry and Dry-Cleaning Workers,cleaner,,,
8310,"Pressers, Textile, Garment, and Related Materials",presser,,,
8320,Sewing Machine Operators,tailor,,,
8330,Shoe and Leather Workers and Repairers,cobbler,,,
8340,Shoe Machine Operators and Tenders,cobbler,,,
8350,"Tailors, Dressmakers, and Sewers",tailor,,,
8400,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",weaver,,,
8410,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",weaver,,,
8420,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",weaver,,,
8450,Upholsterers,upholsterer,,,
8460,"Miscellaneous textile, apparel, and furnishings workers",tailor,,,
8500,Cabinetmakers and Bench Carpenters,carpenter,,,
8510,Furniture Finishers,carpenter,,,
8530,"Sawing Machine Setters, Operators, and Tenders, Wood",carpenter,,,
8540,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",carpenter,,,
8550,Miscellaneous Woodworkers,carpenter,,,
8600,"Power Plant Operators, Distributors, and Dispatchers",operator,,,
8610,Stationary Engineers and Boiler Operators,operator,,,
8620,Water and Wastewater Treatment Plant and System Operators,operator,,,
8630,Miscellaneous Plant and System Operators,operator,,,
8640,"Chemical Processing Machine Setters, Operators, and Tenders",operator,,,
8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",laborer,,,
8710,Cutting Workers,cutter,,,
8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",operator,,,
8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",operator,,,
8740,"Inspectors, Testers, Sorters, Samplers, and Weighers",inspector,,,
8750,Jewelers and Precious Stone and Metal Workers,jeweler,,,
8760,"Medical, Dental, and Ophthalmic Laboratory Technicians",technician,,,
8800,Packaging and Filling Machine Operators and Tenders,operator,,,
8810,Painting Workers,painter,,,
8830,Photographic Process Workers and Processing Machine Operators,technician,,,
8840,Semiconductor Processors,technician,,,
8850,Adhesive Bonding Machine Operators and Tenders,operator,,,
8860,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",cleaner,,,
8900,Cooling and Freezing Equipment Operators and Tenders,operator,,,
8910,Etchers and Engravers,engraver,,,
8920,"Molders, Shapers, and Casters, Except Metal and Plastic",molder,,,
8930,"Paper Folding Machine Setters, Operators, and Tenders",operator,,,
8940,Tire Builders,laborer,,,
8950,Helpers--Production Workers,helper,,,
8965,"Production Workers, All Other",laborer,,,
9000,Supervisors of Transportation and Material Moving Workers,supervisor,,,
9030,Aircraft Pilots and Flight Engineers,pilot,,,
9040,Air Traffic Controllers and Airfield Operations Specialists,controller,,,
9050,Flight Attendants,attendant,,,
9100,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",driver,,,
9110,Bus Drivers,driver,,,
9120,Driver/Sales Workers and Truck Drivers,driver,,,
9130,Driver/Sales Workers and Truck Drivers,driver,,,
9140,Taxi Drivers and Chauffeurs,driver,,,
9150,"Motor Vehicle Operators, All Other",driver,,,
9200,Locomotive Engineers and Operators,operator,,,
9240,Railroad Conductors and Yardmasters,conductor,,,
9260,"Subway, streetcar, and other rail transportation workers",conductor,,,
9300,"Sailors and marine oilers, and ship engineers",sailor,,,
9310,Ship and Boat Captains and Operators,captain,,,
9350,Parking Lot Attendants,attendant,,,
9360,Automotive and Watercraft Service Attendants,attendant,,,
9410,Transportation Inspectors,inspector,,,
9415,"Transportation attendants, except flight attendants",attendant,,,
9420,Other transportation workers,laborer,,,
9500,Conveyor Operators and Tenders,operator,,,
9510,Crane and Tower Operators,operator,,,
9520,"Dredge, Excavating, and Loading Machine Operators",operator,,,
9560,Hoist and Winch Operators,operator,,,
9600,Industrial Truck and Tractor Operators,operator,,,
9610,Cleaners of Vehicles and Equipment,cleaner,,,
9620,"Laborers and Freight, Stock, and Material Movers, Hand",laborer,,,
9630,Machine Feeders and Offbearers,laborer,,,
9640,"Packers and Packagers, Hand",packer,,,
9650,Pumping Station Operators,operator,,,
9720,Refuse and Recyclable Material Collectors,collector,,,
9750,Miscellaneous material moving workers,laborer,,,
9800,Military Officer Special and Tactical Operations Leaders,officer,,,
9810,First-Line Enlisted Military Supervisors,supervisor,,,
9820,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,soldier,,,
9830,"Military, Rank Not Specified",soldier,,,
9920,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",,,,
